tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,Unnamed: 12,fees_paid,trade_value,profit_loss,cumulative_profit_loss
2024-11-16 01:17:29,673781f5d181be0007cd0248,PNUT-USDT,sell,1.7957,3.58,6.428606,0.006428606,maker,USDT,limit,0,,0.006428606,6.435034606,0.1288800000000001,-0.06430300000000222
2024-11-16 00:40:54,67377996355a36000790f616,PNUT-USDT,buy,1.8997,1.87,3.552439,0.003552439,maker,USDT,limit,0,,0.003552439,3.555991439,-0.19447999999999976,-0.258783000000002
2024-11-16 00:40:52,67377994f53c5a00070cc9bb,PNUT-USDT,sell,1.8982,1.9,3.60658,0.00360658,taker,USDT,market,0,,0.00360658,3.61018658,-0.0028049999999996914,-0.26158800000000165
2024-11-16 00:34:26,67377810392ff70007d531cf,PNUT-USDT,buy,1.8684,1.9,3.54996,0.00354996,maker,USDT,limit,0,,0.00354996,3.55350996,0.05662000000000009,-0.20496800000000157
2024-11-16 00:34:24,6737780cfc9022000707ff00,PNUT-USDT,sell,1.871,1.9,3.5549,0.0035549,maker,USDT,limit,0,,0.0035549,3.5584549,0.004939999999999878,-0.20002800000000168
2024-11-16 00:34:19,6737780b1d476000078da69c,PNUT-USDT,buy,1.873,1.87,3.50251,0.00350251,taker,USDT,market,0,,0.00350251,3.50601251,-0.0037400000000000037,-0.20376800000000167
2024-11-16 00:32:49,673777af3cda6500076a9575,PNUT-USDT,sell,1.8984,1.87,3.550008,0.003550008,maker,USDT,limit,0,,0.003550008,3.553558008,0.04749800000000017,-0.1562700000000015
2024-11-16 00:32:46,673777a2ae43c40007a86c32,PNUT-USDT,buy,1.9001,1.87,3.553187,0.003553187,maker,USDT,limit,0,,0.003553187,3.556740187,-0.00317899999999965,-0.15944900000000115
2024-11-16 00:32:31,6737779f2ab0100007c87489,PNUT-USDT,sell,1.9173,1.79,3.431967,0.003431967,taker,USDT,market,0,,0.003431967,3.4353989670000002,0.0321640000000002,-0.12728500000000095
2024-11-16 00:21:29,673775094bcca60007226e32,PNUT-USDT,buy,1.9775,1.79,3.539725,0.003539725,maker,USDT,limit,0,,0.003539725,3.543264725,-0.10775800000000006,-0.235043000000001
